song name,artist,wav file location
Angel,NewDad,downloads/Angel - NewDad.wav
This Night Has Opened My Eyes,2011 Remaster - The Smiths,downloads/This Night Has Opened My Eyes - 2011 Remaster - The Smiths.wav
For Us,V,downloads/For Us - V.wav
Work Bitch,Britney Spears,downloads/Work Bitch - Britney Spears.wav
intro,Orion Sun,downloads/intro - Orion Sun.wav
Poison,Brent Faiyaz,downloads/Poison - Brent Faiyaz.wav
Tessellate,alt-J,downloads/Tessellate - alt-J.wav
Pon de Replay,Rihanna,downloads/Pon de Replay - Rihanna.wav
I Like It,Cardi B,downloads/I Like It - Cardi B.wav
Hours In Silence,Drake,downloads/Hours In Silence - Drake.wav
Get Down On It,Kool & The Gang,downloads/Get Down On It - Kool & The Gang.wav
Moonstruck,ENHYPEN,downloads/Moonstruck - ENHYPEN.wav
Harvey,Alex G,downloads/Harvey - Alex G.wav
Single Ladies (Put a Ring on It),Beyoncé,downloads/Single Ladies (Put a Ring on It) - Beyoncé.wav
Soma,The Strokes,downloads/Soma - The Strokes.wav
bubble gum,Clairo,downloads/bubble gum - Clairo.wav
Keep Driving,Harry Styles,downloads/Keep Driving - Harry Styles.wav
Wild Time,Weyes Blood,downloads/Wild Time - Weyes Blood.wav
Race,Alex G,downloads/Race - Alex G.wav
Letter to an Old Poet,Boygenius,downloads/Letter to an Old Poet - Boygenius.wav
Father Figure,Remastered - featured in 'Babygirl' - George Michael,downloads/Father Figure - Remastered - featured in 'Babygirl' - George Michael.wav
Generation,Triples,downloads/Generation - Triples.wav
Neighbors,J. Cole,downloads/Neighbors - J. Cole.wav
BAD!,xxxtentacion,downloads/BAD! - xxxtentacion.wav
close to you,Frank Ocean,downloads/close to you - Frank Ocean.wav
Concorde,"Black Country, New Road","downloads/Concorde - Black Country, New Road.wav"
Can't Hide It (feat. Jhené Aiko),Lil Durk,downloads/Can't Hide It (feat. Jhené Aiko) - Lil Durk.wav
Rocket Skates,Deftones,downloads/Rocket Skates - Deftones.wav
Shake It,Metro Station,downloads/Shake It - Metro Station.wav
Photo ID (with Dominic Fike),Remi Wolf,downloads/Photo ID (with Dominic Fike) - Remi Wolf.wav
Crush (feat. Jorja Smith),AJ Tracey,downloads/Crush (feat. Jorja Smith) - AJ Tracey.wav
the lost soul down,nbsplv,downloads/the lost soul down - nbsplv.wav
bless the telephone,Labi Siffre,downloads/bless the telephone - Labi Siffre.wav
Here is Someone,Japanese Breakfast,downloads/Here is Someone - Japanese Breakfast.wav
Just A Dream,Nelly,downloads/Just A Dream - Nelly.wav
EL CLúB,Bad Bunny,downloads/EL CLúB - Bad Bunny.wav
Mania de você,Rita Lee,downloads/Mania de você - Rita Lee.wav
Blind,Korn,downloads/Blind - Korn.wav
Cry Me a River,Justin Timberlake,downloads/Cry Me a River - Justin Timberlake.wav
Free Now,Live From Vevo - Gracie Abrams,downloads/Free Now - Live From Vevo - Gracie Abrams.wav
Long Cool Woman (In a Black Dress),1999 Remaster - The Hollies,downloads/Long Cool Woman (In a Black Dress) - 1999 Remaster - The Hollies.wav
Chicago,Sufjan Stevens,downloads/Chicago - Sufjan Stevens.wav
NEMONEMO,Yena,downloads/NEMONEMO - Yena.wav
Never be yours,Kali Uchis,downloads/Never be yours - Kali Uchis.wav
sidekick,2hollis,downloads/sidekick - 2hollis.wav
Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Troye Sivan,downloads/Rush (feat. PinkPantheress & Hyunjin of Stray Kids) - Troye Sivan.wav
Morning Sex,Ralph Castelli,downloads/Morning Sex - Ralph Castelli.wav
Why why why why why,Sault,downloads/Why why why why why - Sault.wav
Blue & Grey,BTS,downloads/Blue & Grey - BTS.wav
Roman Holiday,Fontaines D.C.,downloads/Roman Holiday - Fontaines D.C..wav
The Story of Us (Taylor's Version),Taylor Swift,downloads/The Story of Us (Taylor's Version) - Taylor Swift.wav
Punk Monk,Playboi Carti,downloads/Punk Monk - Playboi Carti.wav
