song name,artist,wav file location
STOP,J-Hope,downloads/STOP - J-Hope.wav
Two Weeks,FKA twigs,downloads/Two Weeks - FKA twigs.wav
Do You Want To Know A Secret,Remastered 2009 - The Beatles,downloads/Do You Want To Know A Secret - Remastered 2009 - The Beatles.wav
Heaven Knows,54 Ultra,downloads/Heaven Knows - 54 Ultra.wav
Ride Wit Me,Nelly,downloads/Ride Wit Me - Nelly.wav
Kiss from a Rose,Seal,downloads/Kiss from a Rose - Seal.wav
This Mess We're In,PJ Harvey,downloads/This Mess We're In - PJ Harvey.wav
Everything Is Peaceful Love,Bon Iver,downloads/Everything Is Peaceful Love - Bon Iver.wav
My Generation,Limp Bizkit,downloads/My Generation - Limp Bizkit.wav
untitled 08 | 09.06.2014.,Kendrick Lamar,downloads/untitled 08 | 09.06.2014. - Kendrick Lamar.wav
Fast As You Can,Fiona Apple,downloads/Fast As You Can - Fiona Apple.wav
Vacillator,Ethel Cain,downloads/Vacillator - Ethel Cain.wav
My Own Worst Enemy,Lit,downloads/My Own Worst Enemy - Lit.wav
Mãe Solteira,DG e Batidão Stronda,downloads/Mãe Solteira - DG e Batidão Stronda.wav
Bang Bang,K'naan,downloads/Bang Bang - K'naan.wav
Ring of Fire,Johnny Cash,downloads/Ring of Fire - Johnny Cash.wav
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,downloads/Rewrite The Stars (with James Arthur & Anne-Marie) - James Arthur.wav
Murder On My Mind,YNW Melly,downloads/Murder On My Mind - YNW Melly.wav
Nothing Compares 2 U,Sinéad O'Connor,downloads/Nothing Compares 2 U - Sinéad O'Connor.wav
Cake By The Ocean,DNCE,downloads/Cake By The Ocean - DNCE.wav
I Must Apologise,pinkpantheress,downloads/I Must Apologise - pinkpantheress.wav
Normal Thing,Gracie Abrams,downloads/Normal Thing - Gracie Abrams.wav
Amethyst,Deafheaven,downloads/Amethyst - Deafheaven.wav
Forever Yours,Brent Faiyaz,downloads/Forever Yours - Brent Faiyaz.wav
Visions,LOVING,downloads/Visions - LOVING.wav
LUCIFER,SHINee,downloads/LUCIFER - SHINee.wav
Fake Smile,Ariana Grande,downloads/Fake Smile - Ariana Grande.wav
Bottoms Up (feat. Nicki Minaj),Trey Songz,downloads/Bottoms Up (feat. Nicki Minaj) - Trey Songz.wav
Dive In,Pierce The Veil,downloads/Dive In - Pierce The Veil.wav
Killin' It,P1Harmony,downloads/Killin' It - P1Harmony.wav
THINGS BEHIND THINGS BEHIND THINGS,Bon Iver,downloads/THINGS BEHIND THINGS BEHIND THINGS - Bon Iver.wav
Time of Our Lives,Pitbull,downloads/Time of Our Lives - Pitbull.wav
Teen Age Riot (album version),Sonic Youth,downloads/Teen Age Riot (album version) - Sonic Youth.wav
Video Killed the Radio Star,The Buggles,downloads/Video Killed the Radio Star - The Buggles.wav
Suzanne,Leonard Cohen,downloads/Suzanne - Leonard Cohen.wav
Guilty,Taemin,downloads/Guilty - Taemin.wav
Persuasive (with SZA),Doechii,downloads/Persuasive (with SZA) - Doechii.wav
Something,Remastered 2009 - The Beatles,downloads/Something - Remastered 2009 - The Beatles.wav
Panic,beomgyu,downloads/Panic - beomgyu.wav
It Ain't Hard to Tell,Nas,downloads/It Ain't Hard to Tell - Nas.wav
Break My Heart,Dua Lipa,downloads/Break My Heart - Dua Lipa.wav
Pearls,Sade,downloads/Pearls - Sade.wav
Comme des Garçons (Like the Boys),Rina Sawayama,downloads/Comme des Garçons (Like the Boys) - Rina Sawayama.wav
MIDDLE CHILD,J. Cole,downloads/MIDDLE CHILD - J. Cole.wav
Closing Time,Semisonic,downloads/Closing Time - Semisonic.wav
Figure 8,Paramore,downloads/Figure 8 - Paramore.wav
Opening Night,The Weeknd,downloads/Opening Night - The Weeknd.wav
What is love,"7"" Mix - Haddaway","downloads/What is love - 7"" Mix - Haddaway.wav"
Baby By Me,50 Cent,downloads/Baby By Me - 50 Cent.wav
In the Aeroplane Over the Sea,Neutral Milk Hotel,downloads/In the Aeroplane Over the Sea - Neutral Milk Hotel.wav
Diamond Eyes,Deftones,downloads/Diamond Eyes - Deftones.wav
Foreign,Playboi Carti,downloads/Foreign - Playboi Carti.wav
Love Me Like This,NMixx,downloads/Love Me Like This - NMixx.wav
Girl With The Tattoo Enter.lewd,Miguel,downloads/Girl With The Tattoo Enter.lewd - Miguel.wav
"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,"downloads/Break Up with Your Girlfriend, I'm Bored - Ariana Grande.wav"
Seek & Destroy,SZA,downloads/Seek & Destroy - SZA.wav
Hold On,Justin Bieber,downloads/Hold On - Justin Bieber.wav
Cannonball,The Breeders,downloads/Cannonball - The Breeders.wav
Simulation Swarm,Big Thief,downloads/Simulation Swarm - Big Thief.wav
The Grants,Lana Del Rey,downloads/The Grants - Lana Del Rey.wav
Paranoia,The Marías,downloads/Paranoia - The Marías.wav
Better Than Revenge (Taylor's Version),Taylor Swift,downloads/Better Than Revenge (Taylor's Version) - Taylor Swift.wav
Get You (feat. Kali Uchis),Daniel Caesar,downloads/Get You (feat. Kali Uchis) - Daniel Caesar.wav
Could Have Been Me,The Struts,downloads/Could Have Been Me - The Struts.wav
Alien Blues,Vundabar,downloads/Alien Blues - Vundabar.wav
FXCK UP THE WORLD (feat. Future),Lisa,downloads/FXCK UP THE WORLD (feat. Future) - Lisa.wav
Picture Me Better,Weyes Blood,downloads/Picture Me Better - Weyes Blood.wav
4Me 4Me,Malcolm Todd,downloads/4Me 4Me - Malcolm Todd.wav
Lights Down Low (feat. Waka Flocka Flame),Maejor,downloads/Lights Down Low (feat. Waka Flocka Flame) - Maejor.wav
Lua Cheia,Marina Sena,downloads/Lua Cheia - Marina Sena.wav
Nymphology,Melanie Martinez,downloads/Nymphology - Melanie Martinez.wav
Malvadinho,MC LUUKY,downloads/Malvadinho - MC LUUKY.wav
Nervous,The Neighbourhood,downloads/Nervous - The Neighbourhood.wav
Cocaine Jesus,Rainbow Kitten Surprise,downloads/Cocaine Jesus - Rainbow Kitten Surprise.wav
How Sweet,NewJeans,downloads/How Sweet - NewJeans.wav
evermore (feat. Bon Iver),Taylor Swift,downloads/evermore (feat. Bon Iver) - Taylor Swift.wav
Stay Schemin,Rick Ross,downloads/Stay Schemin - Rick Ross.wav
Could've Been (feat. Bryson Tiller),H.E.R.,downloads/Could've Been (feat. Bryson Tiller) - H.E.R..wav
For Fun,LIL UZI VERT,downloads/For Fun - LIL UZI VERT.wav
PROFIT,Doechii,downloads/PROFIT - Doechii.wav
Mad Riches,Sonder,downloads/Mad Riches - Sonder.wav
Movin' Out (Anthony's Song),Billy Joel,downloads/Movin' Out (Anthony's Song) - Billy Joel.wav
Punisher,Phoebe Bridgers,downloads/Punisher - Phoebe Bridgers.wav
The Way Things Are,Fiona Apple,downloads/The Way Things Are - Fiona Apple.wav
In The Party,Flo Milli,downloads/In The Party - Flo Milli.wav
1 Thing,Amerie,downloads/1 Thing - Amerie.wav
Rockstar,Lisa,downloads/Rockstar - Lisa.wav
homesick,wave to earth,downloads/homesick - wave to earth.wav
stupid horse,100 gecs,downloads/stupid horse - 100 gecs.wav
Same Old Love,Selena Gomez,downloads/Same Old Love - Selena Gomez.wav
Canal St. (feat. Bones),A$AP Rocky,downloads/Canal St. (feat. Bones) - A$AP Rocky.wav
U Weren't Here I Really Miss You,cult member,downloads/U Weren't Here I Really Miss You - cult member.wav
I Know What You Did Last Summer,Shawn Mendes,downloads/I Know What You Did Last Summer - Shawn Mendes.wav
Come Back to Earth,Mac Miller,downloads/Come Back to Earth - Mac Miller.wav
Bizarre Love Triangle,New Order,downloads/Bizarre Love Triangle - New Order.wav
Daddy Cool,Boney M.,downloads/Daddy Cool - Boney M..wav
aisatsana [102],Aphex Twin,downloads/aisatsana [102] - Aphex Twin.wav
Hypnosis,Sleep Token,downloads/Hypnosis - Sleep Token.wav
Older,Isabel LaRosa,downloads/Older - Isabel LaRosa.wav
Toronto 2014 (with Mustafa),Daniel Caesar,downloads/Toronto 2014 (with Mustafa) - Daniel Caesar.wav
hostage,Billie Eilish,downloads/hostage - Billie Eilish.wav
Mariners Apartment Complex,Lana Del Rey,downloads/Mariners Apartment Complex - Lana Del Rey.wav
Dreamin,PARTYNEXTDOOR,downloads/Dreamin - PARTYNEXTDOOR.wav
All Night (BTS World Original Soundtrack) (Pt. 3),BTS,downloads/All Night (BTS World Original Soundtrack) (Pt. 3) - BTS.wav
Agust D,Agust D,downloads/Agust D - Agust D.wav
Cosmic Love,Florence + the Machine,downloads/Cosmic Love - Florence + the Machine.wav
Banquet,Bloc Party,downloads/Banquet - Bloc Party.wav
HiiiPower,Kendrick Lamar,downloads/HiiiPower - Kendrick Lamar.wav
PMW (All I Really Need) (feat. ScHoolboy Q),A$AP Rocky,downloads/PMW (All I Really Need) (feat. ScHoolboy Q) - A$AP Rocky.wav
Hands to Myself,Selena Gomez,downloads/Hands to Myself - Selena Gomez.wav
The Zephyr Song,Red Hot Chili Peppers,downloads/The Zephyr Song - Red Hot Chili Peppers.wav
Golden,Harry Styles,downloads/Golden - Harry Styles.wav
8am in Charlotte,Drake,downloads/8am in Charlotte - Drake.wav
People,Agust D,downloads/People - Agust D.wav
Stephanie,Nafeesisboujee,downloads/Stephanie - Nafeesisboujee.wav
Pink Maggit,Deftones,downloads/Pink Maggit - Deftones.wav
Bad Vibes Forever (feat. PnB Rock & Trippie Redd),xxxtentacion,downloads/Bad Vibes Forever (feat. PnB Rock & Trippie Redd) - xxxtentacion.wav
Peaches & Eggplants (feat. 21 Savage),Young Nudy,downloads/Peaches & Eggplants (feat. 21 Savage) - Young Nudy.wav
WitchBlades,LIL PEEP,downloads/WitchBlades - LIL PEEP.wav
It's the End of the World as We Know It (And I Feel Fine),R.E.M.,downloads/It's the End of the World as We Know It (And I Feel Fine) - R.E.M..wav
Stranded,Gojira,downloads/Stranded - Gojira.wav
SOS,Rihanna,downloads/SOS - Rihanna.wav
Afraid To Feel,LF SYSTEM,downloads/Afraid To Feel - LF SYSTEM.wav
HOTEL LOBBY (Unc & Phew),Quavo,downloads/HOTEL LOBBY (Unc & Phew) - Quavo.wav
Back for More (with Anitta),TOMORROW X TOGETHER,downloads/Back for More (with Anitta) - TOMORROW X TOGETHER.wav
Blonde,OsamaSon,downloads/Blonde - OsamaSon.wav
B.O.B.,Bombs Over Baghdad - OutKast,downloads/B.O.B. - Bombs Over Baghdad - OutKast.wav
Sad Girl,Lana Del Rey,downloads/Sad Girl - Lana Del Rey.wav
Buttercup,Jack Stauber,downloads/Buttercup - Jack Stauber.wav
Tainted Love,Soft Cell,downloads/Tainted Love - Soft Cell.wav
Man of the Year,ScHoolboy Q,downloads/Man of the Year - ScHoolboy Q.wav
Again,Fetty Wap,downloads/Again - Fetty Wap.wav
Halloween,Phoebe Bridgers,downloads/Halloween - Phoebe Bridgers.wav
All My Candles,Men I Trust,downloads/All My Candles - Men I Trust.wav
TOO COOL TO BE CARELESS,pawsa,downloads/TOO COOL TO BE CARELESS - pawsa.wav
So Sick,Ne-Yo,downloads/So Sick - Ne-Yo.wav
Stuck on the Puzzle,Alex Turner,downloads/Stuck on the Puzzle - Alex Turner.wav
Candles,Juice WRLD,downloads/Candles - Juice WRLD.wav
Demons,Imagine Dragons,downloads/Demons - Imagine Dragons.wav
Blank Space,Taylor Swift,downloads/Blank Space - Taylor Swift.wav
Pitseleh,Elliott Smith,downloads/Pitseleh - Elliott Smith.wav
My Own Prison,Creed,downloads/My Own Prison - Creed.wav
Can’t Catch Me Now,from The Hunger Games: The Ballad of Songbirds & Snakes - Olivia Rodrigo,downloads/Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes - Olivia Rodrigo.wav
Myth,Beach House,downloads/Myth - Beach House.wav
Clark,C418,downloads/Clark - C418.wav
Wasted Times,The Weeknd,downloads/Wasted Times - The Weeknd.wav
peggy,Ceechynaa,downloads/peggy - Ceechynaa.wav
Social Cues,Cage the Elephant,downloads/Social Cues - Cage the Elephant.wav
Lean 4 Real (feat. Skepta),Playboi Carti,downloads/Lean 4 Real (feat. Skepta) - Playboi Carti.wav
Bad News,Kiss Of Life,downloads/Bad News - Kiss Of Life.wav
Nico And The Niners,Twenty One Pilots,downloads/Nico And The Niners - Twenty One Pilots.wav
Floral & Fading,Pierce The Veil,downloads/Floral & Fading - Pierce The Veil.wav
London Calling,Remastered - The Clash,downloads/London Calling - Remastered - The Clash.wav
Wait and Bleed,Slipknot,downloads/Wait and Bleed - Slipknot.wav
Time Machine,Willow,downloads/Time Machine - Willow.wav
Innocent (Taylor's Version),Taylor Swift,downloads/Innocent (Taylor's Version) - Taylor Swift.wav
Your Graduation,Modern Baseball,downloads/Your Graduation - Modern Baseball.wav
You & Me,Rivo Remix - Disclosure,downloads/You & Me - Rivo Remix - Disclosure.wav
I'm a Slave 4 U,Britney Spears,downloads/I'm a Slave 4 U - Britney Spears.wav
Marigold,Nirvana,downloads/Marigold - Nirvana.wav
Soundtrack 2 My Life,Kid Cudi,downloads/Soundtrack 2 My Life - Kid Cudi.wav
Farmer Refuted,Thayne Jasperson,downloads/Farmer Refuted - Thayne Jasperson.wav
Question...?,Taylor Swift,downloads/Question...? - Taylor Swift.wav
Jugaste y Sufrí,Eslabon Armado,downloads/Jugaste y Sufrí - Eslabon Armado.wav
You Were Right,RÜFÜS DU SOL,downloads/You Were Right - RÜFÜS DU SOL.wav
Alcohol-Free,TWICE,downloads/Alcohol-Free - TWICE.wav
i,Aphex Twin,downloads/i - Aphex Twin.wav
Love Me Again,John Newman,downloads/Love Me Again - John Newman.wav
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,downloads/Sad Beautiful Tragic (Taylor's Version) - Taylor Swift.wav
Polarize,Twenty One Pilots,downloads/Polarize - Twenty One Pilots.wav
Hell n back,Bakar,downloads/Hell n back - Bakar.wav
The Middle,Jimmy Eat World,downloads/The Middle - Jimmy Eat World.wav
Daylily,Movements,downloads/Daylily - Movements.wav
9$IDE x Amethyst,Tory Lanez,downloads/9$IDE x Amethyst - Tory Lanez.wav
My Funny Valentine,Chet Baker,downloads/My Funny Valentine - Chet Baker.wav
Lovesick,Laufey,downloads/Lovesick - Laufey.wav
High Hopes,Panic! at the Disco,downloads/High Hopes - Panic! at the Disco.wav
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,downloads/The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version) - Taylor Swift.wav
Epiphany,Taylor Swift,downloads/Epiphany - Taylor Swift.wav
Dream A Little Dream Of Me,The Mamas & the Papas,downloads/Dream A Little Dream Of Me - The Mamas & the Papas.wav
Friend,Gracie Abrams,downloads/Friend - Gracie Abrams.wav
This fffire,new version - Franz Ferdinand,downloads/This fffire - new version - Franz Ferdinand.wav
you,2hollis,downloads/you - 2hollis.wav
Blow My Brains Out,Tikkle Me,downloads/Blow My Brains Out - Tikkle Me.wav
D Is for Dangerous,Arctic Monkeys,downloads/D Is for Dangerous - Arctic Monkeys.wav
reckless driving,Lizzy McAlpine,downloads/reckless driving - Lizzy McAlpine.wav
Your Love,JiSoo,downloads/Your Love - JiSoo.wav
Champagne & Sunshine,PLVTINUM,downloads/Champagne & Sunshine - PLVTINUM.wav
Lying from You,Linkin Park,downloads/Lying from You - Linkin Park.wav
SKRILLEX IS DEAD,Skrillex,downloads/SKRILLEX IS DEAD - Skrillex.wav
Me Desculpa Jay Z,Baco Exu do Blues,downloads/Me Desculpa Jay Z - Baco Exu do Blues.wav
I Just Threw Out the Love of My Dreams,Weezer,downloads/I Just Threw Out the Love of My Dreams - Weezer.wav
Another One Bites The Dust,Remastered 2011 - Queen,downloads/Another One Bites The Dust - Remastered 2011 - Queen.wav
Lava Lamp,Thundercat,downloads/Lava Lamp - Thundercat.wav
Save Me,Chief Keef,downloads/Save Me - Chief Keef.wav
Ain't No Sunshine,Bill Withers,downloads/Ain't No Sunshine - Bill Withers.wav
Fallen Down,Toby Fox,downloads/Fallen Down - Toby Fox.wav
Headstrong,Trapt,downloads/Headstrong - Trapt.wav
Marcel,Her's,downloads/Marcel - Her's.wav
Danny,C418,downloads/Danny - C418.wav
Hallucination (I.N),STRAY KIDS,downloads/Hallucination (I.N) - STRAY KIDS.wav
Bus Stop (feat. Brent Faiyaz),Don Toliver,downloads/Bus Stop (feat. Brent Faiyaz) - Don Toliver.wav
Cowboy,Selena Gomez,downloads/Cowboy - Selena Gomez.wav
Bad and Boujee (Feat. Lil Uzi Vert),Migos,downloads/Bad and Boujee (Feat. Lil Uzi Vert) - Migos.wav
Pretty Girls Make Graves,2011 Remaster - The Smiths,downloads/Pretty Girls Make Graves - 2011 Remaster - The Smiths.wav
t r a n s p a r e n t s o u l feat. Travis Barker,Willow,downloads/t r a n s p a r e n t s o u l feat. Travis Barker - Willow.wav
LA FAMA,Rosalía,downloads/LA FAMA - Rosalía.wav
Serenade of Water,Men I Trust,downloads/Serenade of Water - Men I Trust.wav
Loco,Neton Vega,downloads/Loco - Neton Vega.wav
Touch The Sky,Kanye West,downloads/Touch The Sky - Kanye West.wav
GET it TOgeTHEr,Drake,downloads/GET it TOgeTHEr - Drake.wav
Your Obedient Servant,Leslie Odom Jr.,downloads/Your Obedient Servant - Leslie Odom Jr..wav
Wind of Change,Scorpions,downloads/Wind of Change - Scorpions.wav
a boy is a gun*,"Tyler, the Creator","downloads/a boy is a gun* - Tyler, the Creator.wav"
Anthems,Charli XCX,downloads/Anthems - Charli XCX.wav
Song 2,Blur,downloads/Song 2 - Blur.wav
Stayin Alive,Bee Gees,downloads/Stayin Alive - Bee Gees.wav
Rockland,Gracie Abrams,downloads/Rockland - Gracie Abrams.wav
911,Lady Gaga,downloads/911 - Lady Gaga.wav
I Will Always Love You,Whitney Houston,downloads/I Will Always Love You - Whitney Houston.wav
The Winner Takes It All,"From ""Mamma Mia!"" - Meryl Streep","downloads/The Winner Takes It All - From ""Mamma Mia!"" - Meryl Streep.wav"
"I Love You, I'm Sorry",Gracie Abrams,"downloads/I Love You, I'm Sorry - Gracie Abrams.wav"
Hard to Choose One,Future,downloads/Hard to Choose One - Future.wav
Angeles,Elliott Smith,downloads/Angeles - Elliott Smith.wav
When Memories Snow,Mitski,downloads/When Memories Snow - Mitski.wav
Overnight,Parcels,downloads/Overnight - Parcels.wav
Tadow,masego,downloads/Tadow - masego.wav
Teenage Dirtbag,Wheatus,downloads/Teenage Dirtbag - Wheatus.wav
Fortnight (feat. Post Malone),Taylor Swift,downloads/Fortnight (feat. Post Malone) - Taylor Swift.wav
Dial Drunk (with Post Malone),Noah Kahan,downloads/Dial Drunk (with Post Malone) - Noah Kahan.wav
You Get What You Give,New Radicals,downloads/You Get What You Give - New Radicals.wav
Nonstop,Drake,downloads/Nonstop - Drake.wav
SKIPP,Doechii,downloads/SKIPP - Doechii.wav
Afterlife,Avenged Sevenfold,downloads/Afterlife - Avenged Sevenfold.wav
2009,Mac Miller,downloads/2009 - Mac Miller.wav
Feel Special,TWICE,downloads/Feel Special - TWICE.wav
Legendary,Jorge Rivera-Herrans,downloads/Legendary - Jorge Rivera-Herrans.wav
Wife,(G)I-DLE,downloads/Wife - (G)I-DLE.wav
Altogether,Slowdive,downloads/Altogether - Slowdive.wav
Texas Sun,Khruangbin,downloads/Texas Sun - Khruangbin.wav
I Want It That Way,Backstreet Boys,downloads/I Want It That Way - Backstreet Boys.wav
Number 2,Lil Tecca,downloads/Number 2 - Lil Tecca.wav
Starlight,Dave,downloads/Starlight - Dave.wav
Zero,NewJeans,downloads/Zero - NewJeans.wav
Francesca,Hozier,downloads/Francesca - Hozier.wav
Honey,Troye Sivan,downloads/Honey - Troye Sivan.wav
disease,Lady Gaga,downloads/disease - Lady Gaga.wav
Yeah Right,Vince Staples,downloads/Yeah Right - Vince Staples.wav
Die For You,Joji,downloads/Die For You - Joji.wav
Chaise Longue,WET LEG,downloads/Chaise Longue - WET LEG.wav
Baller,Abor & Tynna,downloads/Baller - Abor & Tynna.wav
You & I,One Direction,downloads/You & I - One Direction.wav
I Serve the Base,Future,downloads/I Serve the Base - Future.wav
Genie,Girls' Generation,downloads/Genie - Girls' Generation.wav
Blow Out,Radiohead,downloads/Blow Out - Radiohead.wav
Pretty Savage,BLACKPINK,downloads/Pretty Savage - BLACKPINK.wav
Don't Worry (with Ray Dalton),Radio Edit - Madcon,downloads/Don't Worry (with Ray Dalton) - Radio Edit - Madcon.wav
Babylon,Lady Gaga,downloads/Babylon - Lady Gaga.wav
Everything I Am,Kanye West,downloads/Everything I Am - Kanye West.wav
from me to u (feat. Poppy),BABYMETAL,downloads/from me to u (feat. Poppy) - BABYMETAL.wav
How Soon Is Now?,2011 Remaster - The Smiths,downloads/How Soon Is Now? - 2011 Remaster - The Smiths.wav
Na Sua Estante,Pitty,downloads/Na Sua Estante - Pitty.wav
That Should Be Me,Justin Bieber,downloads/That Should Be Me - Justin Bieber.wav
Little Wing,Jimi Hendrix,downloads/Little Wing - Jimi Hendrix.wav
family tree,Ethel Cain,downloads/family tree - Ethel Cain.wav
Kaleidoscope,Chappell Roan,downloads/Kaleidoscope - Chappell Roan.wav
Ripples,beabadoobee,downloads/Ripples - beabadoobee.wav
Curl up & Die,Matt Maltese,downloads/Curl up & Die - Matt Maltese.wav
wHERE sHE GOES,Bad Bunny,downloads/wHERE sHE GOES - Bad Bunny.wav
Doses & Mimosas,Cherub,downloads/Doses & Mimosas - Cherub.wav
Early Sunsets Over Monroeville,My Chemical Romance,downloads/Early Sunsets Over Monroeville - My Chemical Romance.wav
Kind of,Faye Webster,downloads/Kind of - Faye Webster.wav
Sugar,Men I Trust,downloads/Sugar - Men I Trust.wav
The Razor's Apple,fleshwater,downloads/The Razor's Apple - fleshwater.wav
We Hug Now,Sydney Rose,downloads/We Hug Now - Sydney Rose.wav
Praga,pumapjl,downloads/Praga - pumapjl.wav
Gangsta,Kehlani,downloads/Gangsta - Kehlani.wav
MODUS,Joji,downloads/MODUS - Joji.wav
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,"downloads/Cello Suite No. 1 in G Major, BWV 1007: I. Prélude - Johann Sebastian Bach.wav"
Tunnel Vision,Kodak Black,downloads/Tunnel Vision - Kodak Black.wav
Sweetener,Ariana Grande,downloads/Sweetener - Ariana Grande.wav
Lucifer Loves Me,Summer 2000,downloads/Lucifer Loves Me - Summer 2000.wav
Demi Moore,Phoebe Bridgers,downloads/Demi Moore - Phoebe Bridgers.wav
Our Time,Lil Tecca,downloads/Our Time - Lil Tecca.wav
Electric Feel,MGMT,downloads/Electric Feel - MGMT.wav
Beanie,Chezile,downloads/Beanie - Chezile.wav
Pardon Me,Incubus,downloads/Pardon Me - Incubus.wav
Call Out My Name,The Weeknd,downloads/Call Out My Name - The Weeknd.wav
Send My Love (To Your New Lover),Adele,downloads/Send My Love (To Your New Lover) - Adele.wav
Rain,bôa,downloads/Rain - bôa.wav
Permission To Dance,BTS,downloads/Permission To Dance - BTS.wav
FRIENDS,Marshmello,downloads/FRIENDS - Marshmello.wav
Risk,Deftones,downloads/Risk - Deftones.wav
Cosmic Girl,Remastered 2013 - Jamiroquai,downloads/Cosmic Girl - Remastered 2013 - Jamiroquai.wav
squabble up,Kendrick Lamar,downloads/squabble up - Kendrick Lamar.wav
Second Best,Laufey,downloads/Second Best - Laufey.wav
Bang Bang,Jessie J,downloads/Bang Bang - Jessie J.wav
Never Let Go,Jung Kook,downloads/Never Let Go - Jung Kook.wav
aTTenTiOn,Doja Cat,downloads/aTTenTiOn - Doja Cat.wav
I Know I'm Funny haha,Faye Webster,downloads/I Know I'm Funny haha - Faye Webster.wav
Turn It Off,Paramore,downloads/Turn It Off - Paramore.wav
S-Class,STRAY KIDS,downloads/S-Class - STRAY KIDS.wav
Pasilyo,SunKissed Lola,downloads/Pasilyo - SunKissed Lola.wav
Friends,VACATIONS,downloads/Friends - VACATIONS.wav
I Ain't Worried,OneRepublic,downloads/I Ain't Worried - OneRepublic.wav
Change Me,BigXthaPlug,downloads/Change Me - BigXthaPlug.wav
Beach Life-in-Death,Car Seat Headrest,downloads/Beach Life-in-Death - Car Seat Headrest.wav
WHATS POPPIN,Jack Harlow,downloads/WHATS POPPIN - Jack Harlow.wav
7 Years,Charli XCX,downloads/7 Years - Charli XCX.wav
Starman,2012 Remaster - David Bowie,downloads/Starman - 2012 Remaster - David Bowie.wav
What a Time (feat. Niall Horan),Julia Michaels,downloads/What a Time (feat. Niall Horan) - Julia Michaels.wav
Lemonade (feat. NAV),Internet Money,downloads/Lemonade (feat. NAV) - Internet Money.wav
I Get the Bag (feat. Migos),Gucci Mane,downloads/I Get the Bag (feat. Migos) - Gucci Mane.wav
Dandelions,ruth b.,downloads/Dandelions - ruth b..wav
Way Down We Go,Kaleo,downloads/Way Down We Go - Kaleo.wav
Oh Klahoma,Jack Stauber,downloads/Oh Klahoma - Jack Stauber.wav
Fatal Trouble,ENHYPEN,downloads/Fatal Trouble - ENHYPEN.wav
Trust!,Rebecca Black,downloads/Trust! - Rebecca Black.wav
Stay,Post Malone,downloads/Stay - Post Malone.wav
Jump,Tyla,downloads/Jump - Tyla.wav
Like You Do,Joji,downloads/Like You Do - Joji.wav
I Think I Left the Stove On,Hotel Ugly,downloads/I Think I Left the Stove On - Hotel Ugly.wav
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,downloads/INDUSTRY BABY (feat. Jack Harlow) - Lil Nas X.wav
Pelejei,Marina Sena,downloads/Pelejei - Marina Sena.wav
4eva,ShyGirl,downloads/4eva - ShyGirl.wav
Hurricane,Bridgit Mendler,downloads/Hurricane - Bridgit Mendler.wav
Like a Rolling Stone,Bob Dylan,downloads/Like a Rolling Stone - Bob Dylan.wav
LIE,BTS,downloads/LIE - BTS.wav
Out of Me Head,Steve Lacy,downloads/Out of Me Head - Steve Lacy.wav
BULLFROG,Doechii,downloads/BULLFROG - Doechii.wav
Courtesy Call,Thousand Foot Krutch,downloads/Courtesy Call - Thousand Foot Krutch.wav
Once in a Lifetime,2005 Remaster - Talking Heads,downloads/Once in a Lifetime - 2005 Remaster - Talking Heads.wav
In My Head,Bedroom,downloads/In My Head - Bedroom.wav
Dunno,Mac Miller,downloads/Dunno - Mac Miller.wav
Survival Tactics,Joey Bada$$,downloads/Survival Tactics - Joey Bada$$.wav
Still Think About You,A BOOGIE WIT DA HOODIE,downloads/Still Think About You - A BOOGIE WIT DA HOODIE.wav
"Welcome Home, Son",Radical Face,"downloads/Welcome Home, Son - Radical Face.wav"
With You,Chris Brown,downloads/With You - Chris Brown.wav
Bad Decisions (with BTS & Snoop Dogg),Benny Blanco,downloads/Bad Decisions (with BTS & Snoop Dogg) - Benny Blanco.wav
Fight or Flight,Conan Gray,downloads/Fight or Flight - Conan Gray.wav
Peroxide,ECCO2k,downloads/Peroxide - ECCO2k.wav
Eastside (with Halsey & Khalid),Benny Blanco,downloads/Eastside (with Halsey & Khalid) - Benny Blanco.wav
Give You the World,Steve Lacy,downloads/Give You the World - Steve Lacy.wav
Eleanor Rigby,Remastered 2009 - The Beatles,downloads/Eleanor Rigby - Remastered 2009 - The Beatles.wav
Holocene,Bon Iver,downloads/Holocene - Bon Iver.wav
Master Of Puppets (Remastered),Metallica,downloads/Master Of Puppets (Remastered) - Metallica.wav
I LIKE,Tory Lanez,downloads/I LIKE - Tory Lanez.wav
Moment 4 Life,Nicki Minaj,downloads/Moment 4 Life - Nicki Minaj.wav
Charlie's Garden,Djo,downloads/Charlie's Garden - Djo.wav
Agony,Yung Lean,downloads/Agony - Yung Lean.wav
Checkmate,Conan Gray,downloads/Checkmate - Conan Gray.wav
Make Believe,Mother Mother,downloads/Make Believe - Mother Mother.wav
